用法コード,用法名,分数
001,1日3回食前服用,3
002,1日3回食間服用,3
003,1日3回食後服用,3
004,1日1回朝服用,1
005,1日1回朝食前服用,1
006,1日1回朝食後服用,1
007,1日1回昼服用,1
008,1日1回昼食前服用,1
009,1日1回昼食後服用,1
010,1日1回夕服用,1
011,1日1回夕食前服用,1
012,1日1回夕食後服用,1
013,1日1回就寝前服用,1
014,授乳時服用,？
015,1日2回朝昼食前服用,2
016,1日2回朝昼食後服用,2
017,1日2回朝夕食前服用,2
018,1日2回朝夕食後服用,2
019,1日2回昼夕食前服用,2
020,1日2回昼夕食後服用,2
021,1日4回食後眠前服用,4
022,毎1時間,24
023,毎2時間,12
024,毎3時間,8
025,毎4時間,6
026,毎5時間,5
027,毎6時間,4
028,毎7時間,3
029,毎8時間,3
030,毎9時間,3
031,毎10時間,2
032,毎11時間,2
033,毎12時間,2
034,毎24時間,1
035,1日2回朝食前眠前服用,2
036,1日2回朝食後眠前服用,2
037,1日2回昼食前眠前服用,2
038,1日2回昼食後眠前服用,2
039,1日2回夕食前眠前服用,2
040,1日2回夕食後眠前服用,2
041,1日3回朝昼食前眠前服用,3
042,1日3回朝昼食後眠前服用,3
043,1日3回朝夕食前眠前服用,3
044,1日3回朝夕食後眠前服用,3
045,1日3回昼夕食前眠前服用,3
046,1日3回昼夕食後眠前服用,3
047,1日4回食前眠前服用,4
048,起床時服用,1
800,外用,0
